date,hour,rides
2022-01-11,13,690
2022-01-11,14,700
2022-01-11,15,685
2022-01-11,16,649
2022-01-11,17,688
2022-01-11,18,564
2022-01-11,19,444
2022-01-11,20,316
2022-01-11,21,239
2022-01-11,22,199
2022-01-11,23,151
2022-01-12,0,93
2022-01-12,1,59
2022-01-12,2,36
2022-01-12,3,20
2022-01-12,4,39
2022-01-12,5,80
2022-01-12,6,168
2022-01-12,7,349
2022-01-12,8,503
2022-01-12,9,589
2022-01-12,10,618
2022-01-12,11,674
2022-01-12,12,666
2022-01-12,13,733
2022-01-12,14,726
2022-01-12,15,685
2022-01-12,16,695
2022-01-12,17,719
2022-01-12,18,581
2022-01-12,19,510
2022-01-12,20,372
2022-01-12,21,290
2022-01-12,22,214
2022-01-12,23,192
2022-01-13,0,121
2022-01-13,1,58
2022-01-13,2,30
2022-01-13,3,28
2022-01-13,4,29
2022-01-13,5,78
2022-01-13,6,166
2022-01-13,7,346
2022-01-13,8,477
2022-01-13,9,566
2022-01-13,10,588
2022-01-13,11,660
2022-01-13,12,715
2022-01-13,13,771
2022-01-13,14,739
2022-01-13,15,791
2022-01-13,16,718
2022-01-13,17,756
2022-01-13,18,653
2022-01-13,19,551
2022-01-13,20,426
2022-01-13,21,324
2022-01-13,22,265
2022-01-13,23,205
2022-01-14,0,140
2022-01-14,1,78
2022-01-14,2,43
2022-01-14,3,51
2022-01-14,4,58
2022-01-14,5,94
2022-01-14,6,162
2022-01-14,7,295
2022-01-14,8,444
2022-01-14,9,506
2022-01-14,10,622
2022-01-14,11,634
2022-01-14,12,696
2022-01-14,13,718
2022-01-14,14,774
2022-01-14,15,797
2022-01-14,16,749
2022-01-14,17,806
2022-01-14,18,836
2022-01-14,19,643
2022-01-14,20,519
2022-01-14,21,473
2022-01-14,22,368
2022-01-14,23,278
2022-01-15,0,226
2022-01-15,1,250
2022-01-15,2,169
2022-01-15,3,130
2022-01-15,4,99
2022-01-15,5,72
2022-01-15,6,116
2022-01-15,7,129
2022-01-15,8,199
2022-01-15,9,265
2022-01-15,10,367
2022-01-15,11,432
2022-01-15,12,475
2022-01-15,13,528
2022-01-15,14,537
2022-01-15,15,568
2022-01-15,16,568
2022-01-15,17,589
2022-01-15,18,515
2022-01-15,19,501
2022-01-15,20,391
2022-01-15,21,369
2022-01-15,22,373
2022-01-15,23,309
2022-01-16,0,271
2022-01-16,1,223
2022-01-16,2,183
2022-01-16,3,131
2022-01-16,4,107
2022-01-16,5,72
2022-01-16,6,97
2022-01-16,7,141
2022-01-16,8,190
2022-01-16,9,222
2022-01-16,10,281
2022-01-16,11,348
2022-01-16,12,376
2022-01-16,13,453
2022-01-16,14,484
2022-01-16,15,459
2022-01-16,16,503
2022-01-16,17,502
2022-01-16,18,394
2022-01-16,19,408
2022-01-16,20,361
2022-01-16,21,316
2022-01-16,22,275
2022-01-16,23,192
2022-01-17,0,176
2022-01-17,1,119
2022-01-17,2,76
2022-01-17,3,46
2022-01-17,4,61
2022-01-17,5,74
2022-01-17,6,116
2022-01-17,7,232
2022-01-17,8,344
2022-01-17,9,425
2022-01-17,10,549
