date,hour,rides
1/11/2022,13,690
1/11/2022,14,700
1/11/2022,15,685
1/11/2022,16,649
1/11/2022,17,688
1/11/2022,18,564
1/11/2022,19,444
1/11/2022,20,316
1/11/2022,21,239
1/11/2022,22,199
1/11/2022,23,151
1/12/2022,0,93
1/12/2022,1,59
1/12/2022,2,36
1/12/2022,3,20
1/12/2022,4,39
1/12/2022,5,80
1/12/2022,6,168
1/12/2022,7,349
1/12/2022,8,503
1/12/2022,9,589
1/12/2022,10,618
1/12/2022,11,674
1/12/2022,12,666
1/12/2022,13,733
1/12/2022,14,726
1/12/2022,15,685
1/12/2022,16,695
1/12/2022,17,719
1/12/2022,18,581
1/12/2022,19,510
1/12/2022,20,372
1/12/2022,21,290
1/12/2022,22,214
1/12/2022,23,192
1/13/2022,0,121
1/13/2022,1,58
1/13/2022,2,30
1/13/2022,3,28
1/13/2022,4,29
1/13/2022,5,78
1/13/2022,6,166
1/13/2022,7,346
1/13/2022,8,477
1/13/2022,9,566
1/13/2022,10,588
1/13/2022,11,660
1/13/2022,12,715
1/13/2022,13,771
1/13/2022,14,739
1/13/2022,15,791
1/13/2022,16,718
1/13/2022,17,756
1/13/2022,18,653
1/13/2022,19,551
1/13/2022,20,426
1/13/2022,21,324
1/13/2022,22,265
1/13/2022,23,205
1/14/2022,0,140
1/14/2022,1,78
1/14/2022,2,43
1/14/2022,3,51
1/14/2022,4,58
1/14/2022,5,94
1/14/2022,6,162
1/14/2022,7,295
1/14/2022,8,444
1/14/2022,9,506
1/14/2022,10,622
1/14/2022,11,634
1/14/2022,12,696
1/14/2022,13,718
1/14/2022,14,774
1/14/2022,15,797
1/14/2022,16,749
1/14/2022,17,806
1/14/2022,18,836
1/14/2022,19,643
1/14/2022,20,519
1/14/2022,21,473
1/14/2022,22,368
1/14/2022,23,278
1/15/2022,0,226
1/15/2022,1,250
1/15/2022,2,169
1/15/2022,3,130
1/15/2022,4,99
1/15/2022,5,72
1/15/2022,6,116
1/15/2022,7,129
1/15/2022,8,199
1/15/2022,9,265
1/15/2022,10,367
1/15/2022,11,432
1/15/2022,12,475
1/15/2022,13,528
1/15/2022,14,537
1/15/2022,15,568
1/15/2022,16,568
1/15/2022,17,589
1/15/2022,18,515
1/15/2022,19,501
1/15/2022,20,391
1/15/2022,21,369
1/15/2022,22,373
1/15/2022,23,309
1/16/2022,0,271
1/16/2022,1,223
1/16/2022,2,183
1/16/2022,3,131
1/16/2022,4,107
1/16/2022,5,72
1/16/2022,6,97
1/16/2022,7,141
1/16/2022,8,190
1/16/2022,9,222
1/16/2022,10,281
1/16/2022,11,348
1/16/2022,12,376
1/16/2022,13,453
1/16/2022,14,484
1/16/2022,15,459
1/16/2022,16,503
1/16/2022,17,502
1/16/2022,18,394
1/16/2022,19,408
1/16/2022,20,361
1/16/2022,21,316
1/16/2022,22,275
1/16/2022,23,192
1/17/2022,0,176
1/17/2022,1,119
1/17/2022,2,76
1/17/2022,3,46
1/17/2022,4,61
1/17/2022,5,74
1/17/2022,6,116
1/17/2022,7,232
1/17/2022,8,344
1/17/2022,9,425
1/17/2022,10,549
1/17/2022,11,570
1/17/2022,12,611
1/17/2022,13,631
1/17/2022,14,614
1/17/2022,15,654
1/17/2022,16,658
1/17/2022,17,658
1/17/2022,18,536
1/17/2022,19,541
1/17/2022,20,445
1/17/2022,21,277
1/17/2022,22,226
1/17/2022,23,180
1/18/2022,0,121
1/18/2022,1,90
1/18/2022,2,60
1/18/2022,3,30
1/18/2022,4,34
1/18/2022,5,90
1/18/2022,6,167
1/18/2022,7,369
1/18/2022,8,572
1/18/2022,9,642
1/18/2022,10,671
1/18/2022,11,747
1/18/2022,12,762
1/18/2022,13,744
1/18/2022,14,756
1/18/2022,15,729
1/18/2022,16,756
1/18/2022,17,765
1/18/2022,18,634
1/18/2022,19,516
1/18/2022,20,402
1/18/2022,21,237
1/18/2022,22,216
1/18/2022,23,175
1/19/2022,0,115
1/19/2022,1,48
1/19/2022,2,33
1/19/2022,3,26
1/19/2022,4,46
1/19/2022,5,81
1/19/2022,6,197
1/19/2022,7,349
1/19/2022,8,571
1/19/2022,9,645
1/19/2022,10,657
1/19/2022,11,644
1/19/2022,12,757
1/19/2022,13,697
1/19/2022,14,776
1/19/2022,15,789
1/19/2022,16,780
1/19/2022,17,791
1/19/2022,18,721
1/19/2022,19,599
1/19/2022,20,436
1/19/2022,21,318
1/19/2022,22,271
1/19/2022,23,196
1/20/2022,0,136
1/20/2022,1,78
1/20/2022,2,35
1/20/2022,3,33
1/20/2022,4,45
1/20/2022,5,92
1/20/2022,6,171
1/20/2022,7,395
1/20/2022,8,640
1/20/2022,9,676
1/20/2022,10,622
1/20/2022,11,656
1/20/2022,12,693
1/20/2022,13,708
1/20/2022,14,761
1/20/2022,15,749
1/20/2022,16,747
1/20/2022,17,902
1/20/2022,18,791
1/20/2022,19,651
1/20/2022,20,478
1/20/2022,21,402
1/20/2022,22,325
1/20/2022,23,249
